regime,nystrom_error,kpca_distortion,method
Joint,0.19674232641109643,0.42086975851632075,nsga2
Joint,0.11545699756976396,0.2946023207300149,nsga2
Joint,0.14868652830835405,0.3535017386951206,nsga2
Joint,0.13538791611987608,0.303171736696459,nsga2
Joint,0.17785303363655644,0.3278944349059554,nsga2
Joint,0.09346912194879396,0.2384430056987033,nsga2
Joint,0.10403415424143794,0.2671621697502079,nsga2
Joint,0.0918659442089058,0.24520033413046755,nsga2
Joint,0.0718343371545315,0.18738453941491934,nsga2
Joint,0.0954568007072523,0.24282818639359155,nsga2
Joint,0.10010380507409693,0.2653001223870188,nsga2
Joint,0.10235247702521216,0.2537012623656531,nsga2
Joint,0.20410123042245457,0.33976058542023035,nsga2
Joint,0.1259146101891118,0.3208109513241387,nsga2
Joint,0.07708528536357426,0.21109309678239513,nsga2
Joint,0.14594037673362154,0.3419835390285709,nsga2
Joint,0.07698797344579443,0.20010179523144075,nsga2
Joint,0.11448561425022521,0.2723075195216366,nsga2
Joint,0.07694319643860208,0.19057675748964337,nsga2
Joint,0.12586684156798608,0.3065271244094624,nsga2
Joint,0.06026622873678513,0.14382904212441575,nsga2
Joint,0.10029463990207695,0.23539655426230935,nsga2
